"author1"	"author2"	"pubs"	"pubIDs"
"Ashare R"	"brady ka"	"0"	""
"Ashare R"	"brawner b"	"0"	""
"Ashare R"	"BUSHMAN F"	"0"	""
"Ashare R"	"CANCRO M"	"0"	""
"Ashare R"	"CATON A"	"0"	""
"Ashare R"	"chang km"	"0"	""
"Ashare R"	"chhatre s"	"0"	""
"Ashare R"	"COHEN GH"	"0"	""
"Ashare R"	"COLLMAN R"	"0"	""
"Ashare R"	"DOUGLAS SD"	"0"	""
"Ashare R"	"DOWSHEN N"	"0"	""
"Ashare R"	"EISENBERG RJ"	"0"	""
"Ashare R"	"Eisenlohr L"	"0"	""
"Ashare R"	"EPPERSON CN"	"0"	""
"Ashare R"	"Evans DL"	"0"	""
"Ashare R"	"friedman hm"	"0"	""
"Ashare R"	"GHOSE T"	"0"	""
"Ashare R"	"GROSS R"	"1"	"28429289"
"Ashare R"	"grover s"	"0"	""
"Ashare R"	"HAHN BH"	"0"	""
"Ashare R"	"Hahn SM"	"0"	""
"Ashare R"	"HOXIE J"	"0"	""
"Ashare R"	"HUNTER CA"	"0"	""
"Ashare R"	"jarvis jn"	"0"	""
"Ashare R"	"JEMMOTT J"	"0"	""
"Ashare R"	"JEMMOTT L"	"0"	""
"Ashare R"	"JOHNSON PR"	"0"	""
"Ashare R"	"JORDAN-SCIUTTO K"	"0"	""
"Ashare R"	"JUNE CH"	"0"	""
"Ashare R"	"koenig h"	"0"	""
"Ashare R"	"Kohler HP"	"0"	""
"Ashare R"	"KOHLI RM"	"0"	""
"Ashare R"	"KOLSON D"	"0"	""
"Ashare R"	"kovaric cl"	"0"	""
"Ashare R"	"LANGLEBEN DD"	"0"	""
"Ashare R"	"LIEBERMAN PM"	"0"	""
"Ashare R"	"LIU C"	"0"	""
"Ashare R"	"Lo Re V"	"0"	""
"Ashare R"	"LOWENTHAL ED"	"0"	""
"Ashare R"	"Mcguire JL"	"0"	""
"Ashare R"	"METZGER DS"	"0"	""
"Ashare R"	"MONTANER L"	"0"	""
"Ashare R"	"Moore JH"	"0"	""
"Ashare R"	"morroni c"	"0"	""
"Ashare R"	"O'doherty U"	"0"	""
"Ashare R"	"OBRIEN CP"	"0"	""
"Ashare R"	"ratcliffe s"	"0"	""
"Ashare R"	"RILEY JL"	"0"	""
"Ashare R"	"ROBERTSON ES"	"0"	""
"Ashare R"	"ROSS R"	"0"	""
"Ashare R"	"rutstein r"	"0"	""
"Ashare R"	"sawinski d"	"0"	""
"Ashare R"	"SCHNOLL RA"	"4"	"28553407,28429289,27187893,23669629"
"Ashare R"	"schulman ln"	"0"	""
"Ashare R"	"SCOTT PA"	"0"	""
"Ashare R"	"SHAW GM"	"0"	""
"Ashare R"	"shaw pa"	"0"	""
"Ashare R"	"stallings v"	"0"	""
"Ashare R"	"steenhoff ap"	"0"	""
"Ashare R"	"stevens r"	"0"	""
"Ashare R"	"su lf"	"0"	""
"Ashare R"	"TEBAS P"	"0"	""
"Ashare R"	"Teitelman A"	"0"	""
"Ashare R"	"Tomescu C"	"0"	""
"Ashare R"	"van duyne g"	"0"	""
"Ashare R"	"VILLARRUEL A"	"0"	""
"Ashare R"	"WEINER DB"	"0"	""
"Ashare R"	"Weissman D"	"0"	""
"Ashare R"	"WHERRY EJ"	"0"	""
"Ashare R"	"Wood s"	"0"	""
"Ashare R"	"WOODY GE"	"0"	""
"Ashare R"	"YEHIA B"	"0"	""
"Ashare R"	"YOU J"	"0"	""
"Ashare R"	"Yuan Y"	"0"	""
"Ashare R"	"ZETOLA N"	"0"	""
"awasthi s"	"azzoni l"	"0"	""
"awasthi s"	"BAR K"	"0"	""
"awasthi s"	"bau hh"	"1"	"26900258"
"awasthi s"	"Bauermeister J"	"0"	""
"awasthi s"	"BETTS M"	"0"	""
"awasthi s"	"BHANDOOLA A"	"0"	""
"awasthi s"	"BISSON GP"	"0"	""
"awasthi s"	"BLANK MB"	"0"	""
"awasthi s"	"blumberg ea"	"0"	""
