Kohli RM	coPub	Van DUYNE g	1
Kolson D	coPub	Mcguire JL	2
Kolson D	coPub	Ratcliffe S	1
Kolson D	coPub	Robertson ES	1
Kolson D	coPub	Steenhoff AP	1
Langleben DD	coPub	Metzger DS	1
Langleben DD	coPub	Teitelman A	1
Liu C	coPub	Ratcliffe S	1
Lo RE V	coPub	Ratcliffe S	1
Lo RE V	coPub	Shaw PA	2
Lo RE V	coPub	Tebas P	2
Lo RE V	coPub	Yehia B	1
Lowenthal ED	coPub	Rutstein R	1
Lowenthal ED	coPub	Steenhoff AP	2
Metzger DS	coPub	Montaner L	1
Metzger DS	coPub	Tomescu C	1
Metzger DS	coPub	Yehia B	2
Montaner L	coPub	O'doherty U	1
Montaner L	coPub	Riley JL	1
Montaner L	coPub	Tebas P	4
Montaner L	coPub	Tomescu C	5
Moore JH	coPub	Zetola N	1
Morroni C	coPub	Robertson ES	1
Morroni C	coPub	Zetola N	1
O'doherty U	coPub	Tebas P	1
Ratcliffe S	coPub	Teitelman A	1
Ratcliffe S	coPub	Wood S	2
Ratcliffe S	coPub	Zetola N	1
Riley JL	coPub	Wherry EJ	1
Robertson ES	coPub	Zetola N	1
Rutstein R	coPub	Stallings V	7
Rutstein R	coPub	Steenhoff AP	1
Rutstein R	coPub	Yehia B	8
Sawinski D	coPub	Tebas P	1
Stallings V	coPub	Steenhoff AP	2
Steenhoff AP	coPub	Weissman D	5
Steenhoff AP	coPub	Zetola N	1
Stevens R	coPub	Wood S	1
Su LF	coPub	Tebas P	1
Su LF	coPub	Wherry EJ	2
Tebas P	coPub	Tomescu C	2
Tebas P	coPub	Weiner DB	3
Tebas P	coPub	Wherry EJ	1
Weissman D	coPub	Zetola N	3
